"Post Date","Amount","Check Number","Payee","Memo"
"01/13/2026","-47.59","","AMAZON MKTPL*CK 440 Terry Ave N    SEATTLE        WAUS",""
"01/14/2026","-23.7","","AMAZON MKTPL*IO 440 Terry Ave N    SEATTLE        WAUS",""
"01/14/2026","-64.67","","AMAZON MKTPL*AX 440 Terry Ave N    SEATTLE        WAUS",""
"01/14/2026","-10.71","","AMAZON MKTPL*UW 440 Terry Ave N    SEATTLE        WAUS",""
"01/27/2026","3.2","","Freedom Card Cashback",""
"01/28/2026","-9.41","","AMAZON MKTPL*3E 440 Terry Ave N    SEATTLE        WAUS",""
"01/29/2026","-9.73","","AMAZON MKTPL*LC 440 Terry Ave N    SEATTLE        WAUS",""
"01/31/2026","0.01","","Dividend",""
